Fecha,2015,2016,2017,2018,2019,2020,2021,2022,INE2018
2020-08-31,962.34,1033.64,1032.32,1012.35,1027.58,1026.97,1188.65,1159.81,1172
2020-09-01,1017.4,1070.62,1011.95,1015.75,874.44,1100.57,1141.26,1087.33,1172
2020-09-02,970.73,1033.95,1004.09,928.94,1002.51,1140.28,1093.32,1132.85,1172
2020-09-03,976.08,1026.67,949.36,1004.37,998.64,1136.47,1175.68,1064.98,1172
2020-09-04,909.15,943.6,944.89,1065.01,1068.18,1187.17,1087.52,1000.84,1172
2020-09-05,938.81,974.19,992.73,1031,1058.06,1148.13,1073.24,1070.65,1172
2020-09-06,931.02,1077.74,1042.41,974.61,1011.03,1096.56,1120.36,1051.95,1172
2020-09-07,950.22,1127.48,981.42,1013.3,955.52,1054.61,1234.17,1155.89,1172
2020-09-08,944.11,1096.01,993.45,1013.9,958.49,1140.75,1160.88,1129.88,1172
2020-09-09,959.31,1113.52,965.57,919.26,968,1083.32,1228.49,1105.21,1172
2020-09-10,987.52,1001.96,880.68,941.51,1048.41,1183.7,1164.08,1105.88,1172
2020-09-11,969.95,939.34,966.56,963.53,972.06,1266.26,1075.55,1064,1172
2020-09-12,962.4,968.93,997.21,1066.22,1020.59,1244.61,1047.7,1082.59,1172
2020-09-13,998.97,1018.17,1008.53,1003.2,1079.27,1142.53,1088.66,1155.45,1172
2020-09-14,978.35,945.1,964.12,1031.75,1050.15,1223.29,1163.19,1157.09,1172
2020-09-15,960.81,959.23,984.49,1040.82,963.98,1176.51,1126.03,1186.99,1172
2020-09-16,963.65,914.12,966.12,912.01,985.49,1237.52,1091.17,1054.44,1172
2020-09-17,975.42,978.59,943.95,1020.64,1071.72,1220.85,1122.2,1026.4,1172
2020-09-18,948.27,967.02,984.23,1078.91,989.31,1196.21,1079.2,1019.85,1172
2020-09-19,943.06,979.65,1011.67,1055.05,1085.45,1139.82,971.6,1039.5,1172
2020-09-20,943.31,1033.79,1006.25,1082.63,996.57,1078.98,1063.5,1092.32,1172
2020-09-21,1025.21,997.96,1042.28,1101.07,1005.58,1182.09,1123.14,1088.74,1172
2020-09-22,1054.38,1065.39,1043.85,1009.17,982.38,1211.23,1080.52,1101.39,1172
2020-09-23,951.48,1056.45,1097.03,954.37,981.3,1195.26,1110.35,1107.06,1172
2020-09-24,1022.58,1029.56,1050.03,1040.23,1030.45,1154.27,1157.93,1048.63,1172
2020-09-25,1003.93,913.36,1107.94,1042.45,1037.92,1207.54,1122.81,988.59,1172
2020-09-26,992.99,1005.05,1072.55,1114.27,1019.08,1127.66,942.91,1039.53,1172
2020-09-27,946.35,990.87,1075.14,1058.6,1097.47,1150.72,989.14,1067.29,1172
2020-09-28,957.72,1043.55,1059.32,1074.24,1039,1171.18,1099.89,1119.48,1172
2020-09-29,970.41,1019.89,1138.83,1064.78,976.95,1156.32,1040.8,1104.61,1172
2020-09-30,958.84,1044.25,1091.45,991.61,980.37,1193.66,1153.19,1056.03,1172
2020-10-01,1039.87,1051.19,1011.82,1025.11,1093.93,1228.07,1120.71,1142.16,1172
2020-10-02,992.56,998.76,1050.18,1044.91,1053.19,1197.71,1159.9,1042.33,1172
2020-10-03,1021.41,1026.57,1139.25,1093.11,1006.41,1215.01,1077.87,1133.8,1172
2020-10-04,991.59,1025.28,1053.8,1060.71,1050.8,1112.46,1033.27,1150.14,1172
2020-10-05,1030.32,1032.29,1102.45,1066.49,998.87,1189.75,1056.14,1156.68,1172
2020-10-06,1090.65,1021.41,1118.56,1069.45,937.4,1191.4,1192.38,1163.31,1172
2020-10-07,1005.57,1073.94,1082.95,986.65,1022.33,1309.39,1095.39,1183.6,1172
