Sexo;Comunidades y provincias;Edad (hasta 100 y más);Total
Ambos sexos;CANARIAS;65-69;106.320
Ambos sexos;CANARIAS;70-74;87.514
Ambos sexos;CANARIAS;75-79;66.988
Ambos sexos;CANARIAS;80-84;44.599
Ambos sexos;CANARIAS;85-89;30.864
Ambos sexos;CANARIAS;90-94;11.338
Ambos sexos;CANARIAS;95-99;2.705
Ambos sexos;CANARIAS;100 y más;725
Ambos sexos;Palmas, Las;Total;1.129.847
Ambos sexos;Palmas, Las;0-4;40.176
Ambos sexos;Palmas, Las;5-9;49.194
Ambos sexos;Palmas, Las;10-14;57.917
Ambos sexos;Palmas, Las;15-19;60.595
Ambos sexos;Palmas, Las;20-24;62.626
Ambos sexos;Palmas, Las;25-29;70.065
Ambos sexos;Palmas, Las;30-34;76.257
Ambos sexos;Palmas, Las;35-39;86.381
Ambos sexos;Palmas, Las;40-44;97.739
Ambos sexos;Palmas, Las;45-49;105.611
Ambos sexos;Palmas, Las;50-54;98.296
Ambos sexos;Palmas, Las;55-59;86.260
Ambos sexos;Palmas, Las;60-64;65.785
Ambos sexos;Palmas, Las;65-69;54.320
Ambos sexos;Palmas, Las;70-74;43.773
Ambos sexos;Palmas, Las;75-79;32.059
Ambos sexos;Palmas, Las;80-84;21.399
Ambos sexos;Palmas, Las;85-89;14.566
Ambos sexos;Palmas, Las;90-94;5.245
Ambos sexos;Palmas, Las;95-99;1.317
Ambos sexos;Palmas, Las;100 y más;266
Ambos sexos;Santa Cruz de Tenerife;Total;1.044.627
Ambos sexos;Santa Cruz de Tenerife;0-4;37.534
Ambos sexos;Santa Cruz de Tenerife;5-9;44.751
Ambos sexos;Santa Cruz de Tenerife;10-14;52.033
Ambos sexos;Santa Cruz de Tenerife;15-19;52.046
Ambos sexos;Santa Cruz de Tenerife;20-24;55.451
Ambos sexos;Santa Cruz de Tenerife;25-29;63.377
Ambos sexos;Santa Cruz de Tenerife;30-34;68.629
Ambos sexos;Santa Cruz de Tenerife;35-39;79.480
Ambos sexos;Santa Cruz de Tenerife;40-44;90.844
Ambos sexos;Santa Cruz de Tenerife;45-49;93.601
Ambos sexos;Santa Cruz de Tenerife;50-54;87.413
Ambos sexos;Santa Cruz de Tenerife;55-59;78.445
Ambos sexos;Santa Cruz de Tenerife;60-64;62.915
Ambos sexos;Santa Cruz de Tenerife;65-69;52.000
Ambos sexos;Santa Cruz de Tenerife;70-74;43.741
Ambos sexos;Santa Cruz de Tenerife;75-79;34.929
Ambos sexos;Santa Cruz de Tenerife;80-84;23.200
Ambos sexos;Santa Cruz de Tenerife;85-89;16.298
Ambos sexos;Santa Cruz de Tenerife;90-94;6.093
Ambos sexos;Santa Cruz de Tenerife;95-99;1.388
Ambos sexos;Santa Cruz de Tenerife;100 y más;459
Ambos sexos;CANTABRIA;Total;582.796
Ambos sexos;CANTABRIA;0-4;20.682
Ambos sexos;CANTABRIA;5-9;26.182
Ambos sexos;CANTABRIA;10-14;28.988
Ambos sexos;CANTABRIA;15-19;26.834
Ambos sexos;CANTABRIA;20-24;24.495
Ambos sexos;CANTABRIA;25-29;25.991
Ambos sexos;CANTABRIA;30-34;30.319
Ambos sexos;CANTABRIA;35-39;40.144
Ambos sexos;CANTABRIA;40-44;49.839
Ambos sexos;CANTABRIA;45-49;47.922
Ambos sexos;CANTABRIA;50-54;46.023
Ambos sexos;CANTABRIA;55-59;43.932
Ambos sexos;CANTABRIA;60-64;42.026
Ambos sexos;CANTABRIA;65-69;35.313
Ambos sexos;CANTABRIA;70-74;30.682
Ambos sexos;CANTABRIA;75-79;22.382
Ambos sexos;CANTABRIA;80-84;17.321
Ambos sexos;CANTABRIA;85-89;14.812
Ambos sexos;CANTABRIA;90-94;6.821
Ambos sexos;CANTABRIA;95-99;1.819
Ambos sexos;CANTABRIA;100 y más;269
Ambos sexos;CASTILLA Y LEÓN;Total;2.393.285
Ambos sexos;CASTILLA Y LEÓN;0-4;79.356
Ambos sexos;CASTILLA Y LEÓN;5-9;96.483
Ambos sexos;CASTILLA Y LEÓN;10-14;104.859
Ambos sexos;CASTILLA Y LEÓN;15-19;102.625
Ambos sexos;CASTILLA Y LEÓN;20-24;103.060
Ambos sexos;CASTILLA Y LEÓN;25-29;107.753
Ambos sexos;CASTILLA Y LEÓN;30-34;120.164
Ambos sexos;CASTILLA Y LEÓN;35-39;147.405
Ambos sexos;CASTILLA Y LEÓN;40-44;179.130
Ambos sexos;CASTILLA Y LEÓN;45-49;183.947
Ambos sexos;CASTILLA Y LEÓN;50-54;190.126
Ambos sexos;CASTILLA Y LEÓN;55-59;190.893
Ambos sexos;CASTILLA Y LEÓN;60-64;173.886
Ambos sexos;CASTILLA Y LEÓN;65-69;144.599
Ambos sexos;CASTILLA Y LEÓN;70-74;132.695
Ambos sexos;CASTILLA Y LEÓN;75-79;112.666
Ambos sexos;CASTILLA Y LEÓN;80-84;90.569
Ambos sexos;CASTILLA Y LEÓN;85-89;80.013
Ambos sexos;CASTILLA Y LEÓN;90-94;39.820
Ambos sexos;CASTILLA Y LEÓN;95-99;11.601
Ambos sexos;CASTILLA Y LEÓN;100 y más;1.635
Ambos sexos;Ávila;Total;157.078
Ambos sexos;Ávila;0-4;5.074
Ambos sexos;Ávila;5-9;6.335
Ambos sexos;Ávila;10-14;7.161
Ambos sexos;Ávila;15-19;6.857
Ambos sexos;Ávila;20-24;7.127
Ambos sexos;Ávila;25-29;7.212
Ambos sexos;Ávila;30-34;7.841
Ambos sexos;Ávila;35-39;9.151
Ambos sexos;Ávila;40-44;11.317
Ambos sexos;Ávila;45-49;11.519
Ambos sexos;Ávila;50-54;12.224
Ambos sexos;Ávila;55-59;12.892
Ambos sexos;Ávila;60-64;11.265
Ambos sexos;Ávila;65-69;9.234
Ambos sexos;Ávila;70-74;8.650
Ambos sexos;Ávila;75-79;7.474
Ambos sexos;Ávila;80-84;6.211
Ambos sexos;Ávila;85-89;5.734
Ambos sexos;Ávila;90-94;2.857
Ambos sexos;Ávila;95-99;838
Ambos sexos;Ávila;100 y más;105
Ambos sexos;Burgos;Total;357.532
Ambos sexos;Burgos;0-4;12.973
Ambos sexos;Burgos;5-9;15.896
Ambos sexos;Burgos;10-14;16.836
Ambos sexos;Burgos;15-19;15.930
Ambos sexos;Burgos;20-24;15.736
Ambos sexos;Burgos;25-29;16.338
Ambos sexos;Burgos;30-34;18.575
Ambos sexos;Burgos;35-39;22.220
Ambos sexos;Burgos;40-44;27.585
Ambos sexos;Burgos;45-49;28.018
Ambos sexos;Burgos;50-54;28.303
Ambos sexos;Burgos;55-59;27.904
Ambos sexos;Burgos;60-64;25.439
Ambos sexos;Burgos;65-69;21.318
Ambos sexos;Burgos;70-74;19.021
Ambos sexos;Burgos;75-79;15.431
Ambos sexos;Burgos;80-84;11.875
Ambos sexos;Burgos;85-89;10.755
Ambos sexos;Burgos;90-94;5.546
Ambos sexos;Burgos;95-99;1.630
Ambos sexos;Burgos;100 y más;203
Ambos sexos;León;Total;456.237
Ambos sexos;León;0-4;13.522
Ambos sexos;León;5-9;16.319
Ambos sexos;León;10-14;17.871
Ambos sexos;León;15-19;18.079
Ambos sexos;León;20-24;18.208
Ambos sexos;León;25-29;19.452
Ambos sexos;León;30-34;22.566
Ambos sexos;León;35-39;28.427
Ambos sexos;León;40-44;33.101
Ambos sexos;León;45-49;34.406
Ambos sexos;León;50-54;36.329
Ambos sexos;León;55-59;37.756
Ambos sexos;León;60-64;35.127
Ambos sexos;León;65-69;28.709
Ambos sexos;León;70-74;26.048
Ambos sexos;León;75-79;22.127
Ambos sexos;León;80-84;19.321
Ambos sexos;León;85-89;17.671
Ambos sexos;León;90-94;8.548
Ambos sexos;León;95-99;2.278
Ambos sexos;León;100 y más;372
Ambos sexos;Palencia;Total;160.263
