Sexo;Comunidades y ciudades autónomas;Edad (año a año);Total
Ambos sexos;Balears, Illes;92 años;53
Ambos sexos;Balears, Illes;93 años;46
Ambos sexos;Balears, Illes;94 años;41
Ambos sexos;Balears, Illes;95 años;40
Ambos sexos;Balears, Illes;96 años;36
Ambos sexos;Balears, Illes;97 años;12
Ambos sexos;Balears, Illes;98 años;10
Ambos sexos;Balears, Illes;99 años;16
Ambos sexos;Balears, Illes;100 y más años;44
Ambos sexos;Canarias;Total;12.167
Ambos sexos;Canarias;0 años;..
Ambos sexos;Canarias;1 año;2
Ambos sexos;Canarias;2 años;..
Ambos sexos;Canarias;3 años;..
Ambos sexos;Canarias;4 años;10
Ambos sexos;Canarias;5 años;7
Ambos sexos;Canarias;6 años;9
Ambos sexos;Canarias;7 años;5
Ambos sexos;Canarias;8 años;14
Ambos sexos;Canarias;9 años;6
Ambos sexos;Canarias;10 años;5
Ambos sexos;Canarias;11 años;7
Ambos sexos;Canarias;12 años;2
Ambos sexos;Canarias;13 años;9
Ambos sexos;Canarias;14 años;10
Ambos sexos;Canarias;15 años;12
Ambos sexos;Canarias;16 años;11
Ambos sexos;Canarias;17 años;13
Ambos sexos;Canarias;18 años;71
Ambos sexos;Canarias;19 años;12
Ambos sexos;Canarias;20 años;79
Ambos sexos;Canarias;21 años;102
Ambos sexos;Canarias;22 años;126
Ambos sexos;Canarias;23 años;135
Ambos sexos;Canarias;24 años;144
Ambos sexos;Canarias;25 años;151
Ambos sexos;Canarias;26 años;200
Ambos sexos;Canarias;27 años;203
Ambos sexos;Canarias;28 años;80
Ambos sexos;Canarias;29 años;89
Ambos sexos;Canarias;30 años;161
Ambos sexos;Canarias;31 años;163
Ambos sexos;Canarias;32 años;138
Ambos sexos;Canarias;33 años;180
Ambos sexos;Canarias;34 años;126
Ambos sexos;Canarias;35 años;166
Ambos sexos;Canarias;36 años;136
Ambos sexos;Canarias;37 años;162
Ambos sexos;Canarias;38 años;162
Ambos sexos;Canarias;39 años;264
Ambos sexos;Canarias;40 años;245
Ambos sexos;Canarias;41 años;179
Ambos sexos;Canarias;42 años;130
Ambos sexos;Canarias;43 años;195
Ambos sexos;Canarias;44 años;150
Ambos sexos;Canarias;45 años;242
Ambos sexos;Canarias;46 años;165
Ambos sexos;Canarias;47 años;128
Ambos sexos;Canarias;48 años;155
Ambos sexos;Canarias;49 años;153
Ambos sexos;Canarias;50 años;74
Ambos sexos;Canarias;51 años;91
Ambos sexos;Canarias;52 años;85
Ambos sexos;Canarias;53 años;82
Ambos sexos;Canarias;54 años;114
Ambos sexos;Canarias;55 años;114
Ambos sexos;Canarias;56 años;51
Ambos sexos;Canarias;57 años;79
Ambos sexos;Canarias;58 años;97
Ambos sexos;Canarias;59 años;116
Ambos sexos;Canarias;60 años;62
Ambos sexos;Canarias;61 años;105
Ambos sexos;Canarias;62 años;88
Ambos sexos;Canarias;63 años;122
Ambos sexos;Canarias;64 años;92
Ambos sexos;Canarias;65 años;102
Ambos sexos;Canarias;66 años;153
Ambos sexos;Canarias;67 años;92
Ambos sexos;Canarias;68 años;136
Ambos sexos;Canarias;69 años;72
Ambos sexos;Canarias;70 años;130
Ambos sexos;Canarias;71 años;142
Ambos sexos;Canarias;72 años;141
Ambos sexos;Canarias;73 años;148
Ambos sexos;Canarias;74 años;147
Ambos sexos;Canarias;75 años;186
Ambos sexos;Canarias;76 años;192
Ambos sexos;Canarias;77 años;272
Ambos sexos;Canarias;78 años;187
Ambos sexos;Canarias;79 años;228
Ambos sexos;Canarias;80 años;296
Ambos sexos;Canarias;81 años;223
Ambos sexos;Canarias;82 años;263
Ambos sexos;Canarias;83 años;340
Ambos sexos;Canarias;84 años;319
Ambos sexos;Canarias;85 años;304
Ambos sexos;Canarias;86 años;219
Ambos sexos;Canarias;87 años;264
Ambos sexos;Canarias;88 años;206
Ambos sexos;Canarias;89 años;229
Ambos sexos;Canarias;90 años;179
Ambos sexos;Canarias;91 años;204
Ambos sexos;Canarias;92 años;98
Ambos sexos;Canarias;93 años;102
Ambos sexos;Canarias;94 años;90
Ambos sexos;Canarias;95 años;83
Ambos sexos;Canarias;96 años;57
Ambos sexos;Canarias;97 años;9
Ambos sexos;Canarias;98 años;19
Ambos sexos;Canarias;99 años;18
Ambos sexos;Canarias;100 y más años;28
Ambos sexos;Cantabria;Total;5.781
Ambos sexos;Cantabria;0 años;3
Ambos sexos;Cantabria;1 año;..
Ambos sexos;Cantabria;2 años;..
Ambos sexos;Cantabria;3 años;..
Ambos sexos;Cantabria;4 años;..
Ambos sexos;Cantabria;5 años;..
Ambos sexos;Cantabria;6 años;..
Ambos sexos;Cantabria;7 años;..
Ambos sexos;Cantabria;8 años;..
Ambos sexos;Cantabria;9 años;..
Ambos sexos;Cantabria;10 años;..
Ambos sexos;Cantabria;11 años;..
Ambos sexos;Cantabria;12 años;..
Ambos sexos;Cantabria;13 años;..
Ambos sexos;Cantabria;14 años;4
Ambos sexos;Cantabria;15 años;1
