Provincias;Sexo;Periodo;Total
01 Araba/Álava;Mujeres;1992;786
01 Araba/Álava;Mujeres;1991;837
01 Araba/Álava;Mujeres;1990;840
01 Araba/Álava;Mujeres;1989;778
01 Araba/Álava;Mujeres;1988;749
01 Araba/Álava;Mujeres;1987;715
01 Araba/Álava;Mujeres;1986;709
01 Araba/Álava;Mujeres;1985;775
01 Araba/Álava;Mujeres;1984;634
01 Araba/Álava;Mujeres;1983;704
01 Araba/Álava;Mujeres;1982;630
01 Araba/Álava;Mujeres;1981;675
01 Araba/Álava;Mujeres;1980;677
01 Araba/Álava;Mujeres;1979;690
01 Araba/Álava;Mujeres;1978;687
01 Araba/Álava;Mujeres;1977;678
01 Araba/Álava;Mujeres;1976;663
01 Araba/Álava;Mujeres;1975;641
33 Asturias;Total;2018;13.238
33 Asturias;Total;2017;13.152
33 Asturias;Total;2016;13.204
33 Asturias;Total;2015;13.550
33 Asturias;Total;2014;12.812
33 Asturias;Total;2013;12.722
33 Asturias;Total;2012;13.151
33 Asturias;Total;2011;12.678
33 Asturias;Total;2010;12.725
33 Asturias;Total;2009;12.759
33 Asturias;Total;2008;12.741
33 Asturias;Total;2007;12.667
33 Asturias;Total;2006;12.342
33 Asturias;Total;2005;12.703
33 Asturias;Total;2004;12.550
33 Asturias;Total;2003;12.752
33 Asturias;Total;2002;12.424
33 Asturias;Total;2001;11.926
33 Asturias;Total;2000;12.393
33 Asturias;Total;1999;12.649
33 Asturias;Total;1998;12.259
33 Asturias;Total;1997;11.788
33 Asturias;Total;1996;12.156
33 Asturias;Total;1995;11.989
33 Asturias;Total;1994;11.271
33 Asturias;Total;1993;11.718
33 Asturias;Total;1992;11.378
33 Asturias;Total;1991;11.505
33 Asturias;Total;1990;11.416
33 Asturias;Total;1989;11.008
33 Asturias;Total;1988;10.910
33 Asturias;Total;1987;10.707
33 Asturias;Total;1986;10.579
33 Asturias;Total;1985;10.935
33 Asturias;Total;1984;10.409
33 Asturias;Total;1983;10.237
33 Asturias;Total;1982;10.073
33 Asturias;Total;1981;9.872
33 Asturias;Total;1980;10.315
33 Asturias;Total;1979;9.936
33 Asturias;Total;1978;9.593
33 Asturias;Total;1977;10.127
33 Asturias;Total;1976;9.715
33 Asturias;Total;1975;9.705
33 Asturias;Hombres;2018;6.421
33 Asturias;Hombres;2017;6.389
33 Asturias;Hombres;2016;6.461
33 Asturias;Hombres;2015;6.610
33 Asturias;Hombres;2014;6.371
33 Asturias;Hombres;2013;6.357
33 Asturias;Hombres;2012;6.639
33 Asturias;Hombres;2011;6.438
33 Asturias;Hombres;2010;6.486
33 Asturias;Hombres;2009;6.408
33 Asturias;Hombres;2008;6.404
33 Asturias;Hombres;2007;6.462
33 Asturias;Hombres;2006;6.385
33 Asturias;Hombres;2005;6.490
33 Asturias;Hombres;2004;6.471
33 Asturias;Hombres;2003;6.565
33 Asturias;Hombres;2002;6.404
33 Asturias;Hombres;2001;6.196
33 Asturias;Hombres;2000;6.359
33 Asturias;Hombres;1999;6.589
33 Asturias;Hombres;1998;6.458
