Mes de defunción;Lugar de ocurrencia;Edad;año;Total
Marzo;Domicilio particular;De 65 a 69 años;2018;515
Marzo;Domicilio particular;De 70 a 74 años;2019;622
Marzo;Domicilio particular;De 70 a 74 años;2018;748
Marzo;Domicilio particular;De  75 a 79 años;2019;767
Marzo;Domicilio particular;De  75 a 79 años;2018;882
Marzo;Domicilio particular;De 80 a 84 años;2019;1.228
Marzo;Domicilio particular;De 80 a 84 años;2018;1.722
Marzo;Domicilio particular;De 85 a 89 años;2019;1.916
Marzo;Domicilio particular;De 85 a 89 años;2018;2.284
Marzo;Domicilio particular;De 90 a 94 años;2019;1.678
Marzo;Domicilio particular;De 90 a 94 años;2018;1.922
Marzo;Domicilio particular;De  95 y más años;2019;923
Marzo;Domicilio particular;De  95 y más años;2018;1.025
Marzo;Domicilio particular;No consta;2019;..
Marzo;Domicilio particular;No consta;2018;..
Marzo;Residencia socio-sanitaria;Total;2019;4.623
Marzo;Residencia socio-sanitaria;Total;2018;5.344
Marzo;Residencia socio-sanitaria;De 0 a 64 años;2019;120
Marzo;Residencia socio-sanitaria;De 0 a 64 años;2018;129
Marzo;Residencia socio-sanitaria;De 65 a 69 años;2019;80
Marzo;Residencia socio-sanitaria;De 65 a 69 años;2018;101
Marzo;Residencia socio-sanitaria;De 70 a 74 años;2019;176
Marzo;Residencia socio-sanitaria;De 70 a 74 años;2018;201
Marzo;Residencia socio-sanitaria;De  75 a 79 años;2019;316
Marzo;Residencia socio-sanitaria;De  75 a 79 años;2018;324
Marzo;Residencia socio-sanitaria;De 80 a 84 años;2019;637
Marzo;Residencia socio-sanitaria;De 80 a 84 años;2018;789
Marzo;Residencia socio-sanitaria;De 85 a 89 años;2019;1.214
Marzo;Residencia socio-sanitaria;De 85 a 89 años;2018;1.467
Marzo;Residencia socio-sanitaria;De 90 a 94 años;2019;1.301
Marzo;Residencia socio-sanitaria;De 90 a 94 años;2018;1.467
Marzo;Residencia socio-sanitaria;De  95 y más años;2019;779
Marzo;Residencia socio-sanitaria;De  95 y más años;2018;866
Marzo;Residencia socio-sanitaria;No consta;2019;..
Marzo;Residencia socio-sanitaria;No consta;2018;..
Marzo;Otro Lugar;Total;2019;311
Marzo;Otro Lugar;Total;2018;319
Marzo;Otro Lugar;De 0 a 64 años;2019;108
Marzo;Otro Lugar;De 0 a 64 años;2018;125
Marzo;Otro Lugar;De 65 a 69 años;2019;26
Marzo;Otro Lugar;De 65 a 69 años;2018;15
Marzo;Otro Lugar;De 70 a 74 años;2019;24
Marzo;Otro Lugar;De 70 a 74 años;2018;32
Marzo;Otro Lugar;De  75 a 79 años;2019;23
Marzo;Otro Lugar;De  75 a 79 años;2018;27
Marzo;Otro Lugar;De 80 a 84 años;2019;43
Marzo;Otro Lugar;De 80 a 84 años;2018;41
Marzo;Otro Lugar;De 85 a 89 años;2019;46
Marzo;Otro Lugar;De 85 a 89 años;2018;39
Marzo;Otro Lugar;De 90 a 94 años;2019;30
Marzo;Otro Lugar;De 90 a 94 años;2018;31
Marzo;Otro Lugar;De  95 y más años;2019;11
Marzo;Otro Lugar;De  95 y más años;2018;9
Marzo;Otro Lugar;No consta;2019;..
Marzo;Otro Lugar;No consta;2018;..
Marzo;No consta;Total;2019;1.811
Marzo;No consta;Total;2018;2.270
Marzo;No consta;De 0 a 64 años;2019;512
Marzo;No consta;De 0 a 64 años;2018;746
Marzo;No consta;De 65 a 69 años;2019;109
Marzo;No consta;De 65 a 69 años;2018;182
Marzo;No consta;De 70 a 74 años;2019;143
Marzo;No consta;De 70 a 74 años;2018;175
Marzo;No consta;De  75 a 79 años;2019;191
Marzo;No consta;De  75 a 79 años;2018;182
Marzo;No consta;De 80 a 84 años;2019;245
Marzo;No consta;De 80 a 84 años;2018;291
Marzo;No consta;De 85 a 89 años;2019;276
Marzo;No consta;De 85 a 89 años;2018;328
Marzo;No consta;De 90 a 94 años;2019;228
Marzo;No consta;De 90 a 94 años;2018;259
Marzo;No consta;De  95 y más años;2019;107
Marzo;No consta;De  95 y más años;2018;107
Marzo;No consta;No consta;2019;..
Marzo;No consta;No consta;2018;..
Abril;Total;Total;2019;34.070
Abril;Total;Total;2018;34.956
Abril;Total;De 0 a 64 años;2019;4.659
Abril;Total;De 0 a 64 años;2018;4.785
Abril;Total;De 65 a 69 años;2019;1.945
Abril;Total;De 65 a 69 años;2018;1.923
Abril;Total;De 70 a 74 años;2019;2.725
Abril;Total;De 70 a 74 años;2018;2.626
Abril;Total;De  75 a 79 años;2019;3.470
Abril;Total;De  75 a 79 años;2018;3.400
Abril;Total;De 80 a 84 años;2019;5.301
Abril;Total;De 80 a 84 años;2018;5.833
Abril;Total;De 85 a 89 años;2019;7.390
Abril;Total;De 85 a 89 años;2018;7.575
Abril;Total;De 90 a 94 años;2019;5.825
Abril;Total;De 90 a 94 años;2018;6.066
Abril;Total;De  95 y más años;2019;2.743
Abril;Total;De  95 y más años;2018;2.748
Abril;Total;No consta;2019;12
Abril;Total;No consta;2018;..
Abril;Centro hospitalario;Total;2019;18.914
Abril;Centro hospitalario;Total;2018;19.260
Abril;Centro hospitalario;De 0 a 64 años;2019;2.679
Abril;Centro hospitalario;De 0 a 64 años;2018;2.812
Abril;Centro hospitalario;De 65 a 69 años;2019;1.246
Abril;Centro hospitalario;De 65 a 69 años;2018;1.244
Abril;Centro hospitalario;De 70 a 74 años;2019;1.747
Abril;Centro hospitalario;De 70 a 74 años;2018;1.709
Abril;Centro hospitalario;De  75 a 79 años;2019;2.195
Abril;Centro hospitalario;De  75 a 79 años;2018;2.143
Abril;Centro hospitalario;De 80 a 84 años;2019;3.097
Abril;Centro hospitalario;De 80 a 84 años;2018;3.441
Abril;Centro hospitalario;De 85 a 89 años;2019;4.078
Abril;Centro hospitalario;De 85 a 89 años;2018;3.975
Abril;Centro hospitalario;De 90 a 94 años;2019;2.803
Abril;Centro hospitalario;De 90 a 94 años;2018;2.897
Abril;Centro hospitalario;De  95 y más años;2019;1.065
Abril;Centro hospitalario;De  95 y más años;2018;1.039
Abril;Centro hospitalario;No consta;2019;4
Abril;Centro hospitalario;No consta;2018;..
Abril;Domicilio particular;Total;2019;8.377
